id,name,popularity,followers,genres
19slOlozrbxkEIMD8L3Qsv,Fast Eddie,28.0,9904.0,"['acid house', 'chicago house', 'chicago rap', 'classic house', 'hip house']"
4BIamAD25vwYldaOWTEsXd,Joe Smooth,38.0,13047.0,"['chicago house', 'classic house']"
0B9P7RXrukgIdmutz9XMVN,"Farley ""Jackmaster"" Funk",21.0,11933.0,"['acid house', 'chicago house', 'classic house']"
09xC3MewWz48F1OpYckXTZ,Jomanda,20.0,4724.0,"['chicago house', 'garage house']"
0RBnTX5xoVa1bDYt9Qbies,Floorplan,37.0,42515.0,"['chicago house', 'deep house', 'float house', 'techno']"
5EENlafcyIWhoRnYn8pYxq,J.M. Silk,7.0,1171.0,"['chicago house', 'classic house']"
3JbuyL5MrYONWyquCPZMts,Sampson Butch Moore,0.0,3.0,[]
2TzZ6XTFG1p1PAfhl0crDP,"Steve ""Silk"" Hurley",34.0,6675.0,"['acid house', 'chicago house', 'classic house']"
6ySxYu68zTsO5ghsThpGtS,Cosmic Gate,51.0,255617.0,"['german techno', 'german trance', 'progressive house', 'progressive trance', 'trance']"
7lIBLhQHKay3r1xtO3VtWT,Cajmere,41.0,28213.0,"['chicago house', 'classic house', 'deep house', 'footwork']"
79Gg0tmzETfnVrOUjgXPeE,Dajae,40.0,3015.0,[]
2Di8r9df6xjyj6CVOqbGVz,Marshall Jefferson,50.0,27775.0,"['acid house', 'chicago house', 'classic house']"
5HT6hDqzq0B7EFlokN0hK2,George Smeddles,38.0,6902.0,"['tech house', 'uk tech house']"
0qYaFWcuXTF2AsQ49N6Kul,Paris Brightledge,24.0,730.0,[]
407nV5hO7mZap3UJdpTr4t,Robert Owens,32.0,12573.0,"['acid house', 'chicago house', 'classic house', 'deep house', 'diva house']"
4y7BsfdIKQ7Of5SskHej70,Phuture,21.0,14261.0,"['acid house', 'chicago house', 'classic house']"
58nnSR1lwvcuklbb3Uc6TU,DJ Pierre,27.0,11957.0,"['acid house', 'chicago house', 'classic house']"
3jMsCseQv7XvuJ9LJQN5dM,Chic Loren,23.0,118.0,[]
5He9yPmPv0Du9hASUlTUjr,DJ Sneak,25.0,20556.0,"['acid house', 'chicago house', 'classic house', 'deep house', 'disco house']"
4ny8n9yM1Eko9j7oe8ZFXS,Jungle Wonz,7.0,1736.0,"['acid house', 'chicago house', 'classic house']"
